FECHA_CORTE;FECHA_MUESTRA;CUENTA;ESTACION;UNIDAD_MEDIDA;TIPO_ESTACION;DEPARTAMENTO;PROVINCIA;DISTRITO;Provincia_Distrito;UBIGEO;CAUDAL07H;PROMEDIO24H;MAXIMA24H;PRECIP24H
20221106;2022/11/04;PRESA EJIDOS;COTE EMBALSE;msnm;PRESA;Piura;Piura ;Castilla;Piura /Castilla;200104;29.45;0;29.45;0
20221106;2022/11/04;RIO PIURA;EL PAPAYO;m3/s;HIDROLOGICA;Piura;Piura ;Castilla;Piura /Castilla;200104;0;0;0;0
20221106;2022/11/04;RIO PIURA;TAMBOGRANDE;m3/s;HIDROLOGICA;Piura;Piura ;Tambo Grande;Piura /Tambo Grande;200114;0;0;0;0
20221106;2022/11/04;RIO PIURA;PTE. nACARA;m3/s;HIDROMETRICA;Piura;MorropOn ;Chulucanas;MorropOn /Chulucanas;200401;0;0;0;0
20221106;2022/11/04;PRESA SULLANA;CANAL NORTE;m3/s;HIDROLOGICA;Piura;Sullana ;Sullana;Sullana /Sullana;200601;18.3;18.3;0;0
20221106;2022/11/04;PRESA SULLANA;RIO CHIRA(SULLANA);m3/s;HIDROLOGICA;Piura;Sullana ;Sullana;Sullana /Sullana;200601;5;5;5;0
20221106;2022/11/04;PRESA SULLANA;COTA EMBALSE;msnm;PRESA;Piura;Sullana ;Sullana;Sullana /Sullana;200601;36.99;0;36.99;0
20221106;2022/11/04;PUNTOS DE CONTROL CD;CURUMUY;m3/s;HIDROMETRICA;Piura;Piura ;Piura;Piura /Piura;200101;0;13.19;0;0
20221106;2022/11/04;PUNTOS DE CONTROL CD;CHECK(KM 29+900);m3/s;HIDROMETRICA;Piura;Sullana ;Sullana;Sullana /Sullana;200601;22.9;22.9;22.9;0
20221106;2022/11/04;SALIDA DE RESERVERIO;TOTAL SALIDA;m3/s;PRESA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;0;51.09;0;0
20221106;2022/11/04;SALIDA DE RESERVERIO;EVAPORACION;m3/s;PRESA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;0;3.48;0;0
20221106;2022/11/04;SALIDA DE RESERVERIO;C. HUAYPIRA;m3/s;HIDROMETRICA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;0.42;0.42;0.42;0
20221106;2022/11/04;SALIDA DE RESERVERIO;C. DERIVACION;m3/s;HIDROMETRICA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;32.92;32.95;33.5;0
20221106;2022/11/04;SALIDA DE RESERVERIO;C. MIGUEL CHECA;m3/s;HIDROMETRICA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;8.93;8.93;8.93;0
20221106;2022/11/04;SALIDA DE RESERVERIO;TOTAL RIO CHIRA;m3/s;HIDROLOGICA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;1;5.32;27.07;0
20221106;2022/11/04;SALIDA DE RESERVERIO;RIO CHIRA - TUNEL;m3/s;HIDROLOGICA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;1;5.32;27.07;0
20221106;2022/11/04;SALIDA DE RESERVERIO;RIO CHIRA - ALIVIADERO;m3/s;HIDROLOGICA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;0;0;0;0
20221106;2022/11/04;RESERVORIO POECHOS;INCREMENTO VOL;mmc;PRESA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;0;-2.8;0;0
20221106;2022/11/04;RESERVORIO POECHOS;VOLUMEN;mmc;PRESA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;226.8;0;229.6;0
20221106;2022/11/04;RESERVORIO POECHOS;COTA REPRESA;msnm;PRESA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;99.51;0;99.6;0
20221106;2022/11/04;RESERVORIO POECHOS;ENTRADA;m3/s;PRESA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;0;18.68;0;0
20221106;2022/11/04;RIO QUIROZ;PARAJE GRANDE;m3/s;HIDROLOGICA;Piura;Ayabaca ;Suyo;Ayabaca /Suyo;200210;0.5;0.5;0.5;0
20221106;2022/11/04;RIO CHIRA;ARDILLA;m3/s;HIDROLOGICA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;0;18.68;0;0
20221106;2022/11/04;RIO CHIRA;EL CIRUELO;m3/s;HIDROLOGICA;Piura;Ayabaca ;Suyo;Ayabaca /Suyo;200210;80;60.8;82;0
20221106;2022/11/04;RIO MACARA;PUENTE INTERNACIONAL;m3/s;HIDROLOGICA;Piura;Ayabaca ;Suyo;Ayabaca /Suyo;200210;4.8;5.2;5.5;0
20221106;2022/11/03;PRESA EJIDOS;CANAL PRINCIPAL;m3/s;HIDROMETRICA;Piura;Piura ;Castilla;Piura /Castilla;200104;10.17;10.28;0;0
